SNO,SNH,fallo
9.19473196860863,0.158500199846927,1
9.19473064715512,0.158500139311647,1
9.19472941786156,0.158500080427751,1
9.19472868841009,0.158500044303074,1
9.19472745428041,0.158499981157084,1
9.1947260735919,0.158499907457318,1
9.19472455591134,0.158499822671001,1
9.19472296783916,0.158499729654994,1
9.19472254727357,0.158499704276658,1
9.19472081323236,0.158499596299154,1
9.19471903011384,0.15849947957887,1
9.19471700468776,0.158499339857315,1
9.19471622810246,0.158499284236009,1
9.19471500318849,0.15849919415861,1
9.1947137729481,0.15849910076273,1
9.19471241838562,0.158498994483637,1
9.19471091141971,0.158498871932218,1
9.19470975769134,0.158498774983843,1
9.19470800178341,0.158498622136896,1
9.19470614075023,0.158498453013433,1
9.19470416584658,0.158498265319808,1
9.1947031654427,0.158498166939488,1
9.19470159527335,0.158498007953695,1
9.19470002052644,0.158497842779416,1
9.19469843611152,0.158497670669984,1
9.19469687361634,0.158497494986644,1
9.19469648330153,0.158497450160751,1
9.1946951308951,0.158497291886966,1
9.19469377652691,0.158497128710172,1
9.194692244152,0.158496938318362,1
9.19469057158991,0.158496723342384,1
9.19468974568093,0.158496614366224,1
9.19468782517532,0.158496353566033,1
9.19468615359155,0.158496117930129,1
9.19468445165209,0.158495869489714,1
9.19468298937955,0.158495648957843,1
9.19468181334734,0.158495466718809,1
9.19468063814287,0.158495280157974,1
9.19467940214363,0.158495079032566,1
9.19467803653296,0.158494850809416,1
9.19467653681279,0.158494592701949,1
9.19467625349173,0.158494543043594,1
9.1946748614059,0.158494294810534,1
9.19467329320375,0.158494006535273,1
9.19467176681007,0.158493716861129,1
9.19467027100192,0.15849342399012,1
9.19466957918377,0.158493285434623,1
9.19466829332256,0.158493022549307,1
9.1946670117319,0.158492753420727,1
9.19466563830207,0.15849245685835,1
9.19466413877995,0.158492123096876,1
9.19466300954858,0.158491864639034,1
9.19466130396657,0.158491462217789,1
9.19465951004431,0.158491022623597,1
9.19465762305346,0.158490541199496,1
9.19465658997089,0.158490268974675,1
9.19465532514107,0.158489926977866,1
9.19465406862873,0.158489577378448,1
9.19465285015831,0.158489228597261,1
9.19465158663028,0.158488856328839,1
9.19465036776172,0.15848848655583,1
9.19464896470414,0.158488047327066,1
9.19464764359149,0.158487619807009,1
9.19464628161437,0.158487164146554,1
9.19464487805535,0.158486677848475,1
9.19464439201479,0.158486505310483,1
9.19464287609736,0.158485952832967,1
9.19464145238761,0.158485413149734,1
9.19463995829093,0.158484823587051,1
9.19463871348802,0.158484313002394,1
9.19463774968149,0.158483904795599,1
9.19463679696567,0.158483489613821,1
9.19463574941419,0.158483018969674,1
9.19463458546736,0.15848247760038,1
9.19463338448219,0.158481897252916,1
9.19463207563227,0.158481237638221,1
9.19463095969234,0.158480651047128,1
9.19462991057486,0.158480077584477,1
9.19462893619339,0.158479524370603,1
9.19462845871738,0.158479245562473,1
9.19462742618257,0.158478624102248,1
9.19462661552546,0.158478117227328,1
9.19462567568283,0.158477506937793,1
9.19462466137203,0.158476818576003,1
9.19462399120768,0.158476345331642,1
9.19462310527311,0.158475695102768,1
9.19462224316221,0.158475032930513,1
9.19462145286924,0.158474397745005,1
9.19462070581291,0.158473769902486,1
9.1946200381347,0.158473183881797,1
9.19461926925265,0.158472476695926,1
