Qe,CODe,fallo
14405.207562762,46.7142363941329,1
14397.2089165174,46.7038818450676,1
14389.9286029113,46.6944759996317,1
14383.3388524167,46.6859778056923,1
14375.4017705657,46.6757616419352,1
14368.8391876659,46.6673308281349,1
14361.0958067277,46.6574019324617,1
14352.4639940445,46.6463579711187,1
14345.1430187337,46.6370111292558,1
14335.1939127539,46.6243383440402,1
14322.985994655,46.6088348423072,1
14310.4617276861,46.5929829603272,1
14306.9480107098,46.588545403398,1
14298.3104081478,46.577654929545,1
14289.6728437466,46.5667903631878,1
14281.0891631701,46.556019241435,1
14272.9167890838,46.5457880649545,1
14268.7537633683,46.5405852278653,1
14259.7308016018,46.5293293345439,1
14252.50078667,46.5203306257324,1
14244.0785709382,46.5098711386651,1
14234.8910341571,46.4984895683628,1
14230.5602153618,46.4931348043571,1
14222.1108771645,46.4827067523583,1
14213.661569772,46.4723038691452,1
14205.4609047548,46.4622311840714,1
14198.0532002591,46.4531528805485,1
14192.3673092633,46.446197851698,1
14184.3613495549,46.4364242850807,1
14176.2975177969,46.4266030149843,1
14167.8310260917,46.4163161396513,1
14158.8525377679,46.4054349818181,1
14154.174991555,46.3997775445493,1
14143.9304131672,46.3874140306549,1
14134.7006062147,46.3763071698976,1
14124.6458741938,46.3642421677555,1
14115.9832124817,46.3538764722368,1
14108.4459317195,46.3448791946398,1
14100.9086697873,46.3359022321065,1
14093.09617742,46.3266188974322,1
14084.9486966844,46.3169607575776,1
14077.7919258422,46.3084966136433,1
14068.4159775618,46.2974356448991,1
14056.9797300809,46.2839867257786,1
14044.4922676996,46.2693551087043,1
14039.6010887594,46.2636393251642,1
14030.8735738749,46.2537166601571,1
14021.5166779884,46.2438190212507,1
14009.9600054017,46.2319919910231,1
13997.3922710667,46.2192929039653,1
13986.979169708,46.2088216739419,1
13976.5622657087,46.1983775172388,1
13965.9945567135,46.18781079554,1
13955.211092149,46.1770572954165,1
13953.5746850653,46.1754279772869,1
13945.3926466614,46.1672914159368,1
13936.4269304284,46.158394723594,1
13926.9774247258,46.1490396837904,1
13917.0884500514,46.1392734347749,1
13909.7506943482,46.1320425183697,1
13901.3093270359,46.1237406811211,1
13892.867970877,46.1154566376805,1
13883.803754309,46.1065811379542,1
13874.3695804339,46.0973651520027,1
13865.9269947188,46.0891366423524,1
13855.0940575775,46.0786044232044,1
13845.6855254506,46.0694807993701,1
13835.1011254045,46.0592432713053,1
13823.7389823231,46.0482845278683,1
13822.1035728108,46.0467098263155,1
13814.0148137253,46.038931111361,1
13803.1945085186,46.0285509829696,1
13791.5868462134,46.0174478622554,1
13778.2804017342,46.004760934104,1
13768.3733390364,45.9953436267246,1
13758.4662876154,45.9859506357948,1
13748.7388340421,45.9767515485216,1
13739.7573556692,45.968278680645,1
13734.4574567843,45.9632882530105,1
13725.5391715026,45.9549063634542,1
13715.6311233977,45.945617225489,1
13704.8204317756,45.9355093925623,1
13693.593808123,45.9250430731934,1
13690.6347153109,45.9222895326228,1
13678.4933048512,45.9110139974339,1
13666.1030469057,45.8995445744801,1
13652.1377919061,45.8866621801848,1
13646.8121565724,45.8817620248322,1
13638.4428568617,45.8740753323427,1
13630.0735629923,45.8664056870584,1
13620.8985294126,45.858017212263,1
13610.7376889226,45.8487512677801,1
13602.9897615641,45.8417025233584,1
13591.2463409122,45.8310465062413,1
13578.8589696396,45.819842217682,1
13565.774074369,45.8080471247925,1
13559.1675128563,45.8021074028856,1
13548.8251550167,45.7928299627482,1
13538.4828042296,45.7835781112081,1
13528.1042261578,45.7743195122781,1
13517.8928984701,45.7652351459961,1
13515.34539445,45.7629726572868,1
13506.5277120589,45.7551533903294,1
13497.7100342301,45.747352550743,1
13487.7463893106,45.738560018313,1
13476.8836898714,45.7290007891084,1
13471.523391637,45.7242939359618,1
13459.065275641,45.7133805905713,1
13448.2254986586,45.7039145030618,1
13437.1881830722,45.694304120083,1
13427.7014908809,45.6860665787831,1
13420.0674820432,45.6794529629916,1
13412.4334758589,45.6728528689113,1
13404.3972062695,45.665919569015,1
13395.5074772657,45.6582673256453,1
13385.7290655019,45.6498711419883,1
13383.8796797099,45.6482856495784,1
13374.8136525068,45.6404975908421,1
13364.6836717921,45.6317267431155,1
13354.8489356305,45.6231895603304,1
13345.1973249014,45.6148204425456,1
13340.7243391722,45.6109478784829,1
13332.3917860132,45.6037457185928,1
13324.0597989015,45.596560226422,1
13315.0974817934,45.5888495314528,1
13305.2692727683,45.5804158660741,1
13297.8358045222,45.574052416903,1
13286.5511749081,45.5644172416598,1
13274.6009520859,45.5542466232324,1
13261.9315806202,45.5435007277625,1
13254.9484941569,45.5375939471131,1
13246.3502210879,45.5303366253146,1
13237.7519499023,45.5230965831704,1
13229.3565079673,45.5160439555039,1
13220.5867619232,45.5086943843711,1
13212.0612345963,45.5015665688167,1
13202.1617603185,45.4933111285977,1
13192.7506309266,45.4854838622085,1
13182.9502692114,45.4773544828179,1
13172.7384584997,45.4689071881399,1
13169.174015221,45.465964254036,1
13157.9576263688,45.4567224580328,1
13147.2774769079,45.4479490289312,1
13135.9036273721,45.4386340925116,1
13126.2868282219,45.4307808704654,1
13118.7461790533,45.4246375818715,1
13111.205530622,45.4185070182897,1
13102.8081528742,45.4116948653725,1
13093.3379412056,45.4040312272612,1
13083.3996663423,45.3960102013361,1
13072.358492863,45.3871246316079,1
13062.7552787708,45.3794181033967,1
13053.5533215742,45.3720525578911,1
13044.8427882585,45.3650974166737,1
13040.5125228288,45.3616459638641,1
13030.9988952807,45.3540774100262,1
13023.3759312,45.3480271320463,1
13014.3534869535,45.3408823268955,1
13004.3722521394,45.3329986903773,1
12997.6253913953,45.3276818262605,1
12988.5020405017,45.320507661454,1
12979.3786898349,45.3133512532603,1
12970.7793263784,45.3066220644635,1
12962.4198081384,45.3000955801188,1
12954.7382661939,45.2941114230073,1
12945.618155021,45.2870227083792,1
12937.6693291485,45.2808586277681,1
12929.1890404781,45.2742969865457,1
12919.905680998,45.2671311594335,1
12911.8511417875,45.2609283689542,1
12900.9644801045,45.2525659115595,1
12891.3013861044,45.2451638031232,1
12881.9537481845,45.2380215960999,1
12872.317725892,45.2306777665155,1
12868.9640131252,45.2281262719863,1
12858.3754538326,45.2200855460158,1
12849.2202006175,45.2131515741006,1
12839.4214954867,45.2057490285695,1
12829.1229913742,45.197989730591,1
12826.07687552,45.195698744805,1
12818.8276582483,45.1902540696929,1
12811.578440576,45.1848198836482,1
12803.6427958469,45.1788831255137,1
12794.5239626645,45.1720766321511,1
12784.5436716214,45.1646459631772,1
12783.189724626,45.1636394153696,1
12776.4199893867,45.1586120819581,1
12760.7856749979,45.147036063673,1
12744.015357651,45.1346718829327,1
12740.3025564116,45.1319419366214,1
12731.3257371528,45.1252648195005,1
12722.6933668765,45.1186040701015,1
12714.6053084204,45.1122568117129,1
12706.3960845281,45.1057847374925,1
12699.8281122391,45.1006065028079,1
12690.8923551357,45.0935726555473,1
12682.9786455845,45.0873575516005,1
12674.0118735804,45.0803328585878,1
12664.3191697711,45.072760653551,1
12660.3194086659,45.0696423587406,1
12649.1562525832,45.0609591543708,1
12639.3726821837,45.053372965622,1
12629.5021865713,45.0457419057624,1
12620.814896977,45.0390442463919,1
12613.9066588413,45.0337305956539,1
12606.9984197591,45.0284278996171,1
12599.1201051739,45.0223939093121,1
12590.3268183268,45.0156758516449,1
12581.3103626955,45.0088055227422,1
12571.1086705519,45.0010542312345,1
12561.3296603078,44.9936460805057,1
12551.4641395094,44.9861940984338,1
12541.8057949376,44.9789196307953,1
12532.7103339295,44.9720880472892,1
12520.6006010449,44.9630208132806,1
12508.5878580751,44.9540580421458,1
12502.3011909594,44.9493801074533,1
12493.6525092826,44.9429586545651,1
